iso3,variable,years,n_obs,workbook,source_name,source_url,retrieval_status,local_file,note
AUT,population,2010-2022,13,FILE1,"UN DESA Population Division, World Population Prospects 2024 (compact demographic indicators)",https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/1_General/WPP2024_GEN_F01_DEMOGRAPHIC_INDICATORS_COMPACT.xlsx,VERIFIED_API,(see ../../data_raw/),Bulk machine-readable source; re-queried live and compared value by value.
AUT,foreign_born,2010-2020,3,FILE1,"UN DESA Population Division, International Migrant Stock 2024: Total destination, Table 1",https://www.un.org/development/desa/pd/sites/www.un.org.development.desa.pd/files/undesa_pd_2024_ims_stock_by_sex_and_destination.xlsx,VERIFIED_API,(see ../../data_raw/),Bulk machine-readable source; re-queried live and compared value by value.
AUT,irregular,2010-2022,13,FILE1,"Eurostat MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?freq=A&reason=TOTAL&apprehen=TOTAL&citizen=TOTAL&sex=T&age=TOTAL&unit=PER&geo=AT&lang=en,VERIFIED_API,(see ../../data_raw/),Bulk machine-readable source; re-queried live and compared value by value.
AUT,foreign_born,2010-2022,13,FILE2,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=AT&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,VERIFIED_API,(see ../../data_raw/),Bulk machine-readable source; re-queried live and compared value by value.
AUT,foreign_nationals,2010-2022,13,FILE2,Eurostat [migr_pop1ctz],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop1ctz?format=JSON&lang=EN&geo=AT&age=TOTAL&sex=T&unit=NR&citizen=FOR_STLS&sinceTimePeriod=2010&untilTimePeriod=2022,VERIFIED_API,(see ../../data_raw/),Bulk machine-readable source; re-queried live and compared value by value.
AUT,irregular_proxy_detections,2010-2022,13,FILE2,"Eurostat, Third country nationals found to be illegally present (migr_eipre)",https://ec.europa.eu/eurostat/databrowser/view/migr_eipre/default/table,VERIFIED_API,(see ../../data_raw/),Bulk machine-readable source; re-queried live and compared value by value.
AUT,irregular_stock,2017-2017,1,FILE2,"Pew Research Center (2019), Europe's Unauthorized Immigrant Population Peaks in 2016, Then Levels Off",https://www.pewresearch.org/global/2019/11/13/europes-unauthorized-immigrant-population-peaks-in-2016-then-levels-off/,DOWNLOADED,irregular_stock__dccd321871__www.pewresearch.org.html,
AUT,population,2010-2022,13,FILE2,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,VERIFIED_API,(see ../../data_raw/),Bulk machine-readable source; re-queried live and compared value by value.
