iso3,variable,years,n_obs,workbook,source_name,source_url,retrieval_status,local_file,note
CHN,population,2010-2022,13,FILE1,"UN DESA Population Division, World Population Prospects 2024 (compact demographic indicators)",https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/1_General/WPP2024_GEN_F01_DEMOGRAPHIC_INDICATORS_COMPACT.xlsx,VERIFIED_API,(see ../../data_raw/),Bulk machine-readable source; re-queried live and compared value by value.
CHN,foreign_born,2010-2020,3,FILE1,"UN DESA Population Division, International Migrant Stock 2024: Total destination, Table 1",https://www.un.org/development/desa/pd/sites/www.un.org.development.desa.pd/files/undesa_pd_2024_ims_stock_by_sex_and_destination.xlsx,VERIFIED_API,(see ../../data_raw/),Bulk machine-readable source; re-queried live and compared value by value.
CHN,foreign_born,2010-2020,3,FILE2,UN DESA International Migrant Stock (World Bank indicator SM.POP.TOTL),https://api.worldbank.org/v2/country/CHN;IND;PHL;RUS;ZAF;SUR;THA/indicator/SM.POP.TOTL?format=json&date=2010:2022&per_page=200,VERIFIED_API,(see ../../data_raw/),Bulk machine-readable source; re-queried live and compared value by value.
CHN,foreign_nationals,2010-2010,1,FILE2,National Bureau of Statistics of China - 2010 Population Census (Sixth National Population Census),https://www.stats.gov.cn/english/NewsEvents/201104/t20110429_26451.html,DOWNLOADED,foreign_nationals__06858e32fc__www.stats.gov.cn.html,
CHN,foreign_nationals,2020-2020,1,FILE2,National Bureau of Statistics of China - Communique of the Seventh National Population Census (No. 8),https://www.stats.gov.cn/english/PressRelease/202105/t20210510_1817193.html,DOWNLOADED,foreign_nationals__0bdd1c303b__www.stats.gov.cn.html,
CHN,population,2010-2022,13,FILE2,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,VERIFIED_API,(see ../../data_raw/),Bulk machine-readable source; re-queried live and compared value by value.
