iso3,variable,years,n_obs,workbook,source_name,source_url,retrieval_status,local_file,note
CHL,population,2010-2022,13,FILE1,"UN DESA Population Division, World Population Prospects 2024 (compact demographic indicators)",https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/1_General/WPP2024_GEN_F01_DEMOGRAPHIC_INDICATORS_COMPACT.xlsx,VERIFIED_API,(see ../../data_raw/),Bulk machine-readable source; re-queried live and compared value by value.
CHL,foreign_born,2010-2020,3,FILE1,"UN DESA Population Division, International Migrant Stock 2024: Total destination, Table 1",https://www.un.org/development/desa/pd/sites/www.un.org.development.desa.pd/files/undesa_pd_2024_ims_stock_by_sex_and_destination.xlsx,VERIFIED_API,(see ../../data_raw/),Bulk machine-readable source; re-queried live and compared value by value.
CHL,foreign_born,2010-2022,11,FILE2,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/CHL.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",VERIFIED_API,(see ../../data_raw/),Bulk machine-readable source; re-queried live and compared value by value.
CHL,foreign_nationals,2017-2022,6,FILE2,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/CHL.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",VERIFIED_API,(see ../../data_raw/),Bulk machine-readable source; re-queried live and compared value by value.
CHL,irregular_stock,2018-2022,5,FILE2,"Instituto Nacional de Estadisticas (INE) and Servicio Nacional de Migraciones (SERMIG), Estimacion de Personas Extranjeras Residentes Habituales en Chile 2023 - Sintesis (2022 methodology series)",https://www.ine.gob.cl/docs/default-source/demografia-y-migracion/publicaciones-y-anuarios/migraci%C3%B3n-internacional/estimaci%C3%B3n-poblaci%C3%B3n-extranjera-en-chile-2018/sintesis-epe2023.pdf?sfvrsn=cc51129c_10,DOWNLOADED,irregular_stock__f8f04e39ba__www.ine.gob.cl.pdf,
CHL,irregular_stock,2018-2020,3,FILE2,"Instituto Nacional de Estadisticas (INE) and Servicio Nacional de Migraciones (SERMIG), Estimacion de Personas Extranjeras Residentes Habituales en Chile 2023 - Sintesis (2023 revised methodology)",https://www.ine.gob.cl/docs/default-source/demografia-y-migracion/publicaciones-y-anuarios/migraci%C3%B3n-internacional/estimaci%C3%B3n-poblaci%C3%B3n-extranjera-en-chile-2018/sintesis-epe2023.pdf?sfvrsn=cc51129c_10,DOWNLOADED,irregular_stock__f8f04e39ba__www.ine.gob.cl.pdf,
CHL,irregular_stock,2022-2022,1,FILE2,"Instituto Nacional de Estadisticas (INE) de Chile, press release 29 December 2023",https://www.ine.gob.cl/sala-de-prensa/prensa/general/noticia/2023/12/29/poblaci%C3%B3n-extranjera-residente-en-chile-super%C3%B3-los-1-6-millones-de-personas-en-2022-con-un-6-6-de-ellas-en-situaci%C3%B3n-irregular,DOWNLOADED,irregular_stock__84522ec4c7__www.ine.gob.cl.html,
CHL,population,2010-2022,13,FILE2,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,VERIFIED_API,(see ../../data_raw/),Bulk machine-readable source; re-queried live and compared value by value.
