workbook,source_key,variable,source_name,source_url,landing_url,citation,n_obs,n_countries,iso3_list,year_min,year_max,url_id,host
FILE1,S3,irregular,"Eurostat MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?freq=A&reason=TOTAL&apprehen=TOTAL&citizen=TOTAL&sex=T&age=TOTAL&unit=PER&geo=FR&lang=en,https://ec.europa.eu/eurostat/cache/metadata/en/migr_eil_esms.htm,"Eurostat dataset MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded), DOI: 10.2908/MIGR_EIPRE.",13,1,FRA,2010,2022,6c6eb9fd,ec.europa.eu
FILE1,S3,irregular,"Eurostat MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?freq=A&reason=TOTAL&apprehen=TOTAL&citizen=TOTAL&sex=T&age=TOTAL&unit=PER&geo=HU&lang=en,https://ec.europa.eu/eurostat/cache/metadata/en/migr_eil_esms.htm,"Eurostat dataset MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded), DOI: 10.2908/MIGR_EIPRE.",13,1,HUN,2010,2022,1c8e11ab,ec.europa.eu
FILE1,S3,irregular,"Eurostat MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?freq=A&reason=TOTAL&apprehen=TOTAL&citizen=TOTAL&sex=T&age=TOTAL&unit=PER&geo=IT&lang=en,https://ec.europa.eu/eurostat/cache/metadata/en/migr_eil_esms.htm,"Eurostat dataset MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded), DOI: 10.2908/MIGR_EIPRE.",13,1,ITA,2010,2022,f75230c8,ec.europa.eu
FILE1,S3,irregular,"Eurostat MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?freq=A&reason=TOTAL&apprehen=TOTAL&citizen=TOTAL&sex=T&age=TOTAL&unit=PER&geo=LT&lang=en,https://ec.europa.eu/eurostat/cache/metadata/en/migr_eil_esms.htm,"Eurostat dataset MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded), DOI: 10.2908/MIGR_EIPRE.",13,1,LTU,2010,2022,17319ffe,ec.europa.eu
FILE1,S3,irregular,"Eurostat MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?freq=A&reason=TOTAL&apprehen=TOTAL&citizen=TOTAL&sex=T&age=TOTAL&unit=PER&geo=NL&lang=en,https://ec.europa.eu/eurostat/cache/metadata/en/migr_eil_esms.htm,"Eurostat dataset MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded), DOI: 10.2908/MIGR_EIPRE.",13,1,NLD,2010,2022,feb69392,ec.europa.eu
FILE1,S3,irregular,"Eurostat MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?freq=A&reason=TOTAL&apprehen=TOTAL&citizen=TOTAL&sex=T&age=TOTAL&unit=PER&geo=NO&lang=en,https://ec.europa.eu/eurostat/cache/metadata/en/migr_eil_esms.htm,"Eurostat dataset MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded), DOI: 10.2908/MIGR_EIPRE.",13,1,NOR,2010,2022,4234039c,ec.europa.eu
FILE1,S3,irregular,"Eurostat MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?freq=A&reason=TOTAL&apprehen=TOTAL&citizen=TOTAL&sex=T&age=TOTAL&unit=PER&geo=PL&lang=en,https://ec.europa.eu/eurostat/cache/metadata/en/migr_eil_esms.htm,"Eurostat dataset MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded), DOI: 10.2908/MIGR_EIPRE.",13,1,POL,2010,2022,200fe8aa,ec.europa.eu
FILE1,S3,irregular,"Eurostat MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?freq=A&reason=TOTAL&apprehen=TOTAL&citizen=TOTAL&sex=T&age=TOTAL&unit=PER&geo=PT&lang=en,https://ec.europa.eu/eurostat/cache/metadata/en/migr_eil_esms.htm,"Eurostat dataset MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded), DOI: 10.2908/MIGR_EIPRE.",13,1,PRT,2010,2022,c17fbd3d,ec.europa.eu
FILE1,S3,irregular,"Eurostat MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?freq=A&reason=TOTAL&apprehen=TOTAL&citizen=TOTAL&sex=T&age=TOTAL&unit=PER&geo=SE&lang=en,https://ec.europa.eu/eurostat/cache/metadata/en/migr_eil_esms.htm,"Eurostat dataset MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded), DOI: 10.2908/MIGR_EIPRE.",13,1,SWE,2010,2022,ab3609a9,ec.europa.eu
FILE1,S3,irregular,"Eurostat MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?freq=A&reason=TOTAL&apprehen=TOTAL&citizen=TOTAL&sex=T&age=TOTAL&unit=PER&geo=SI&lang=en,https://ec.europa.eu/eurostat/cache/metadata/en/migr_eil_esms.htm,"Eurostat dataset MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded), DOI: 10.2908/MIGR_EIPRE.",13,1,SVN,2010,2022,d5ad774c,ec.europa.eu
FILE1,S3,irregular,"Eurostat MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?freq=A&reason=TOTAL&apprehen=TOTAL&citizen=TOTAL&sex=T&age=TOTAL&unit=PER&geo=SK&lang=en,https://ec.europa.eu/eurostat/cache/metadata/en/migr_eil_esms.htm,"Eurostat dataset MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded), DOI: 10.2908/MIGR_EIPRE.",13,1,SVK,2010,2022,c9e9c715,ec.europa.eu
FILE1,S3,irregular,"Eurostat MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded)",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?freq=A&reason=TOTAL&apprehen=TOTAL&citizen=TOTAL&sex=T&age=TOTAL&unit=PER&geo=HR&lang=en,https://ec.europa.eu/eurostat/cache/metadata/en/migr_eil_esms.htm,"Eurostat dataset MIGR_EIPRE, Third-country nationals found to be illegally present – annual data (rounded), DOI: 10.2908/MIGR_EIPRE.",10,1,HRV,2013,2022,8301c50d,ec.europa.eu
